Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
3.04810550759455e+06	1.80331446551664e-02,0.00000000000000e+00	7.78516617468626e-05,0.00000000000000e+00	7.78516617468626e-05,0.00000000000000e+00	1.80331446551659e-02,0.00000000000000e+00
3.05513211647612e+06	1.80253925767857e-02,0.00000000000000e+00	7.79640562041140e-05,0.00000000000000e+00	7.79640562041140e-05,0.00000000000000e+00	1.80253925767867e-02,0.00000000000000e+00
3.06217492336403e+06	1.80176147780038e-02,0.00000000000000e+00	7.80763611221186e-05,0.00000000000000e+00	7.80763611221186e-05,0.00000000000000e+00	1.80176147780028e-02,0.00000000000000e+00
3.06923396559856e+06	1.80098112112862e-02,0.00000000000000e+00	7.81885749200823e-05,0.00000000000000e+00	7.81885749200823e-05,0.00000000000000e+00	1.80098112112866e-02,0.00000000000000e+00
3.07630928060604e+06	1.80019818293116e-02,0.00000000000000e+00	7.83006960122331e-05,0.00000000000000e+00	7.83006960122331e-05,0.00000000000000e+00	1.80019818293128e-02,0.00000000000000e+00
3.08340090589909e+06	1.79941265849621e-02,0.00000000000000e+00	7.84127228078553e-05,0.00000000000000e+00	7.84127228078553e-05,0.00000000000000e+00	1.79941265849616e-02,0.00000000000000e+00
3.09050887907680e+06	1.79862454313243e-02,0.00000000000000e+00	7.85246537113290e-05,0.00000000000000e+00	7.85246537113290e-05,0.00000000000000e+00	1.79862454313237e-02,0.00000000000000e+00
3.09763323782493e+06	1.79783383216907e-02,0.00000000000000e+00	7.86364871221018e-05,0.00000000000000e+00	7.86364871221018e-05,0.00000000000000e+00	1.79783383216895e-02,0.00000000000000e+00
3.10477401991613e+06	1.79704052095700e-02,0.00000000000000e+00	7.87482214347983e-05,0.00000000000000e+00	7.87482214347983e-05,0.00000000000000e+00	1.79704052095702e-02,0.00000000000000e+00
3.11193126321012e+06	1.79624460486873e-02,0.00000000000000e+00	7.88598550391979e-05,0.00000000000000e+00	7.88598550391979e-05,0.00000000000000e+00	1.79624460486876e-02,0.00000000000000e+00
3.11910500565387e+06	1.79544607929810e-02,0.00000000000000e+00	7.89713863202865e-05,0.00000000000000e+00	7.89713863202865e-05,0.00000000000000e+00	1.79544607929818e-02,0.00000000000000e+00
3.12629528528188e+06	1.79464493966121e-02,0.00000000000000e+00	7.90828136582783e-05,0.00000000000000e+00	7.90828136582783e-05,0.00000000000000e+00	1.79464493966113e-02,0.00000000000000e+00
3.13350214021627e+06	1.79384118139566e-02,0.00000000000000e+00	7.91941354286464e-05,0.00000000000000e+00	7.91941354286464e-05,0.00000000000000e+00	1.79384118139553e-02,0.00000000000000e+00
3.14072560866707e+06	1.79303479996242e-02,0.00000000000000e+00	7.93053500021838e-05,0.00000000000000e+00	7.93053500021838e-05,0.00000000000000e+00	1.79303479996228e-02,0.00000000000000e+00
3.14796572893241e+06	1.79222579084446e-02,0.00000000000000e+00	7.94164557449918e-05,0.00000000000000e+00	7.94164557449918e-05,0.00000000000000e+00	1.79222579084450e-02,0.00000000000000e+00
3.15522253939866e+06	1.79141414954841e-02,0.00000000000000e+00	7.95274510185412e-05,0.00000000000000e+00	7.95274510185412e-05,0.00000000000000e+00	1.79141414954841e-02,0.00000000000000e+00
3.16249607854073e+06	1.79059987160386e-02,0.00000000000000e+00	7.96383341797169e-05,0.00000000000000e+00	7.96383341797169e-05,0.00000000000000e+00	1.79059987160384e-02,0.00000000000000e+00
3.16978638492219e+06	1.78978295256330e-02,0.00000000000000e+00	7.97491035808025e-05,0.00000000000000e+00	7.97491035808026e-05,0.00000000000000e+00	1.78978295256337e-02,0.00000000000000e+00
3.17709349719552e+06	1.78896338800400e-02,0.00000000000000e+00	7.98597575695820e-05,0.00000000000000e+00	7.98597575695820e-05,0.00000000000000e+00	1.78896338800406e-02,0.00000000000000e+00
3.18441745410231e+06	1.78814117352657e-02,0.00000000000000e+00	7.99702944893188e-05,0.00000000000000e+00	7.99702944893188e-05,0.00000000000000e+00	1.78814117352652e-02,0.00000000000000e+00
3.19175829447343e+06	1.78731630475627e-02,0.00000000000000e+00	8.00807126788427e-05,0.00000000000000e+00	8.00807126788427e-05,0.00000000000000e+00	1.78731630475621e-02,0.00000000000000e+00
3.19911605722930e+06	1.78648877734201e-02,0.00000000000000e+00	8.01910104725060e-05,0.00000000000000e+00	8.01910104725060e-05,0.00000000000000e+00	1.78648877734200e-02,0.00000000000000e+00
3.20649078138005e+06	1.78565858695902e-02,0.00000000000000e+00	8.03011862003347e-05,0.00000000000000e+00	8.03011862003347e-05,0.00000000000000e+00	1.78565858695896e-02,0.00000000000000e+00
3.21388250602572e+06	1.78482572930623e-02,0.00000000000000e+00	8.04112381879567e-05,0.00000000000000e+00	8.04112381879567e-05,0.00000000000000e+00	1.78482572930617e-02,0.00000000000000e+00
3.22129127035651e+06	1.78399020010876e-02,0.00000000000000e+00	8.05211647567201e-05,0.00000000000000e+00	8.05211647567201e-05,0.00000000000000e+00	1.78399020010880e-02,0.00000000000000e+00
3.22871711365294e+06	1.78315199511652e-02,0.00000000000000e+00	8.06309642236501e-05,0.00000000000000e+00	8.06309642236501e-05,0.00000000000000e+00	1.78315199511655e-02,0.00000000000000e+00
3.23616007528610e+06	1.78231111010609e-02,0.00000000000000e+00	8.07406349015864e-05,0.00000000000000e+00	8.07406349015864e-05,0.00000000000000e+00	1.78231111010613e-02,0.00000000000000e+00
3.24362019471782e+06	1.78146754087980e-02,0.00000000000000e+00	8.08501750991409e-05,0.00000000000000e+00	8.08501750991410e-05,0.00000000000000e+00	1.78146754087969e-02,0.00000000000000e+00
3.25109751150093e+06	1.78062128326571e-02,0.00000000000000e+00	8.09595831207662e-05,0.00000000000000e+00	8.09595831207662e-05,0.00000000000000e+00	1.78062128326574e-02,0.00000000000000e+00
3.25859206527941e+06	1.77977233312040e-02,0.00000000000000e+00	8.10688572668371e-05,0.00000000000000e+00	8.10688572668371e-05,0.00000000000000e+00	1.77977233312033e-02,0.00000000000000e+00
3.26610389578863e+06	1.77892068632495e-02,0.00000000000000e+00	8.11779958335847e-05,0.00000000000000e+00	8.11779958335847e-05,0.00000000000000e+00	1.77892068632497e-02,0.00000000000000e+00
3.27363304285558e+06	1.77806633878954e-02,0.00000000000000e+00	8.12869971132559e-05,0.00000000000000e+00	8.12869971132559e-05,0.00000000000000e+00	1.77806633878948e-02,0.00000000000000e+00
3.28117954639904e+06	1.77720928645063e-02,0.00000000000000e+00	8.13958593940773e-05,0.00000000000000e+00	8.13958593940773e-05,0.00000000000000e+00	1.77720928645060e-02,0.00000000000000e+00
