Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.38088186328649e+06	8.11696056829691e-03,0.00000000000000e+00	1.70384508528042e-04,0.00000000000000e+00	2.39675111526473e-05,0.00000000000000e+00	2.39675111526473e-05,0.00000000000000e+00	8.11696056829626e-03,0.00000000000000e+00
3.38867560089462e+06	8.10136410508311e-03,0.00000000000000e+00	1.70069140280861e-04,0.00000000000000e+00	2.39661401586028e-05,0.00000000000000e+00	2.39661401586028e-05,0.00000000000000e+00	8.10136410508224e-03,0.00000000000000e+00
3.39648730492345e+06	8.08578583210432e-03,0.00000000000000e+00	1.69754141100504e-04,0.00000000000000e+00	2.39646952406955e-05,0.00000000000000e+00	2.39646952406955e-05,0.00000000000000e+00	8.08578583210389e-03,0.00000000000000e+00
3.40431701678986e+06	8.07022579603985e-03,0.00000000000000e+00	1.69439511866970e-04,0.00000000000000e+00	2.39631764084655e-05,0.00000000000000e+00	2.39631764084655e-05,0.00000000000000e+00	8.07022579603953e-03,0.00000000000000e+00
3.41216477800620e+06	8.05468404313990e-03,0.00000000000000e+00	1.69125253451277e-04,0.00000000000000e+00	2.39615836719315e-05,0.00000000000000e+00	2.39615836719315e-05,0.00000000000000e+00	8.05468404313986e-03,0.00000000000000e+00
3.42003063018053e+06	8.03916061923699e-03,0.00000000000000e+00	1.68811366715658e-04,0.00000000000000e+00	2.39599170416169e-05,0.00000000000000e+00	2.39599170416169e-05,0.00000000000000e+00	8.03916061923728e-03,0.00000000000000e+00
3.42791461501681e+06	8.02365556973609e-03,0.00000000000000e+00	1.68497852513327e-04,0.00000000000000e+00	2.39581765285144e-05,0.00000000000000e+00	2.39581765285144e-05,0.00000000000000e+00	8.02365556973480e-03,0.00000000000000e+00
3.43581677431513e+06	8.00816893962268e-03,0.00000000000000e+00	1.68184711688830e-04,0.00000000000000e+00	2.39563621441329e-05,0.00000000000000e+00	2.39563621441329e-05,0.00000000000000e+00	8.00816893962250e-03,0.00000000000000e+00
3.44373714997197e+06	7.99270077346588e-03,0.00000000000000e+00	1.67871945077789e-04,0.00000000000000e+00	2.39544739004587e-05,0.00000000000000e+00	2.39544739004587e-05,0.00000000000000e+00	7.99270077346530e-03,0.00000000000000e+00
3.45167578398036e+06	7.97725111541519e-03,0.00000000000000e+00	1.67559553507145e-04,0.00000000000000e+00	2.39525118099887e-05,0.00000000000000e+00	2.39525118099887e-05,0.00000000000000e+00	7.97725111541466e-03,0.00000000000000e+00
