Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.33361923412192e+06	1.21629482859184e-02,0.00000000000000e+00	2.71142150900427e-05,0.00000000000000e+00	2.71142150900376e-05,0.00000000000000e+00	1.21629482859156e-02,0.00000000000000e+00
2.33899878203973e+06	1.21905223511024e-02,0.00000000000000e+00	2.73000818268787e-05,0.00000000000000e+00	2.73000818268784e-05,0.00000000000000e+00	1.21905223510995e-02,0.00000000000000e+00
2.34439073109625e+06	1.22181437882165e-02,0.00000000000000e+00	2.74871545585777e-05,0.00000000000000e+00	2.74871545585784e-05,0.00000000000000e+00	1.22181437882172e-02,0.00000000000000e+00
2.34979510987905e+06	1.22458124486406e-02,0.00000000000000e+00	2.76754397717979e-05,0.00000000000000e+00	2.76754397717989e-05,0.00000000000000e+00	1.22458124486427e-02,0.00000000000000e+00
2.35521194704161e+06	1.22735281801217e-02,0.00000000000000e+00	2.78649439628732e-05,0.00000000000000e+00	2.78649439628771e-05,0.00000000000000e+00	1.22735281801227e-02,0.00000000000000e+00
2.36064127130345e+06	1.23012908267591e-02,0.00000000000000e+00	2.80556736373101e-05,0.00000000000000e+00	2.80556736373107e-05,0.00000000000000e+00	1.23012908267566e-02,0.00000000000000e+00
2.36608311145032e+06	1.23291002289358e-02,0.00000000000000e+00	2.82476353092965e-05,0.00000000000000e+00	2.82476353092972e-05,0.00000000000000e+00	1.23291002289377e-02,0.00000000000000e+00
2.37153749633431e+06	1.23569562233344e-02,0.00000000000000e+00	2.84408355011398e-05,0.00000000000000e+00	2.84408355011449e-05,0.00000000000000e+00	1.23569562233327e-02,0.00000000000000e+00
2.37700445487403e+06	1.23848586428089e-02,0.00000000000000e+00	2.86352807427113e-05,0.00000000000000e+00	2.86352807427120e-05,0.00000000000000e+00	1.23848586428117e-02,0.00000000000000e+00
2.38248401605474e+06	1.24128073164115e-02,0.00000000000000e+00	2.88309775708476e-05,0.00000000000000e+00	2.88309775708498e-05,0.00000000000000e+00	1.24128073164157e-02,0.00000000000000e+00
2.38797620892854e+06	1.24408020693205e-02,0.00000000000000e+00	2.90279325288234e-05,0.00000000000000e+00	2.90279325288253e-05,0.00000000000000e+00	1.24408020693213e-02,0.00000000000000e+00
2.39348106261448e+06	1.24688427227821e-02,0.00000000000000e+00	2.92261521658017e-05,0.00000000000000e+00	2.92261521658045e-05,0.00000000000000e+00	1.24688427227810e-02,0.00000000000000e+00
2.39899860629875e+06	1.24969290940918e-02,0.00000000000000e+00	2.94256430361546e-05,0.00000000000000e+00	2.94256430361573e-05,0.00000000000000e+00	1.24969290940921e-02,0.00000000000000e+00
2.40452886923482e+06	1.25250609965424e-02,0.00000000000000e+00	2.96264116988912e-05,0.00000000000000e+00	2.96264116988905e-05,0.00000000000000e+00	1.25250609965447e-02,0.00000000000000e+00
2.41007188074358e+06	1.25532382393717e-02,0.00000000000000e+00	2.98284647169543e-05,0.00000000000000e+00	2.98284647169557e-05,0.00000000000000e+00	1.25532382393715e-02,0.00000000000000e+00
2.41562767021355e+06	1.25814606277173e-02,0.00000000000000e+00	3.00318086567790e-05,0.00000000000000e+00	3.00318086567813e-05,0.00000000000000e+00	1.25814606277188e-02,0.00000000000000e+00
